name,yeast_id,style_id,color_id,taste_id,level,photo,origine,,Title_URL,Title1,description,,
AMBRÉE MIEL  ,1,53,3,5,6.5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/616896/664e5945c9614027544830.png.webp,France,Amber Ale,https://www.vandb.fr/biere/ambree-miel-33-cl.html,Bouteille de 0.33 L,Ambrée Amber Ale 6.5 % Nepo - France,Ambrée,%
AMBURANA MAMA  ,1,94,6,2,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/610487/664e12cde6be1114940435.png.webp,France,Stout,https://www.vandb.fr/biere/amburana-mama-33-cl.html,Bouteille de 0.33 L,Noire Stout 8 % du Grand Paris - France,Noire,%
AMERICAN PALE ALE  ,1,33,2,2,5.3,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/615501/664e480c5b7ab773567000.png.webp,France,Pale Ale,https://www.vandb.fr/biere/american-pale-ale-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 5.3 % Saint Germain - France,Blonde,%
ANGELUS  ,1,33,2,2,7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614871/664e43cb47758714044863.png.webp,France,Pale Ale,https://www.vandb.fr/biere/angelus-75cl.html,Bouteille de 0.75 L,Blonde Pale Ale 7 % Lepers - France,Blonde,%
APASSIONADA,2,2,3,1,4,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614700/664e42ae65977533966064.png.webp,Espagne,Berliner Weisse,https://www.vandb.fr/biere/apassionada-33cl.html,Bouteille de 0.33 L,Ambrée Berliner Weisse 4 % Edge Brewing - Espagne,Ambrée,%
APOCALYPSE NOW  ,1,76,5,5,8,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/614571/664e41f2103b9210529632.png.webp,France,Dark Ale,https://www.vandb.fr/biere/apocalypse-now-33cl.html,Bouteille de 0.33 L,Brune Dark Ale 8 % Sainte Cru - France,Brune,%
AR-MEN AMBRÉE  ,1,53,3,5,5.4,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611339/664e23af0f887479961040.png.webp,France,Amber Ale,https://www.vandb.fr/biere/ar-men-ambree-33-cl.html,Bouteille de 0.33 L,Ambrée Amber Ale 5.4 % Brasserie de Bretagne - France,Ambrée,%
AR-MEN BLONDE  ,1,33,2,2,5,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611345/664e23b2af9c8831935177.png.webp,France,Pale Ale,https://www.vandb.fr/biere/ar-men-blonde-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 5 % Brasserie de Bretagne - France,Blonde,%
AR-MEN DORÉE  ,1,33,2,2,7.7,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611348/664e23b63e317467494594.png.webp,France,Pale Ale,https://www.vandb.fr/biere/ar-men-doree-33-cl.html,Bouteille de 0.33 L,Blonde Pale Ale 7.7 % Brasserie de Bretagne - France,Blonde,%
AR-MEN ROUSSE  ,1,53,3,5,6,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/611353/664e23bc57fb7751276928.png.webp,France,Amber Ale,https://www.vandb.fr/biere/ar-men-rousse-33-cl.html,Bouteille de 0.33 L,Rousse Amber Ale 6 % Brasserie de Bretagne - France,Rousse,%
ARCTURUS  ,1,40,2,2,6,https://www.vandb.fr/media/cache/attachment/filter/vandb_b2c_plp/9e256c59daf1c360fa2a692e1a4d8eeb/610616/664e14e813af4102816856.png.webp,France,IPA,https://www.vandb.fr/biere/arcturus-33-cl.html,Canette de 0.33 L,Blonde IPA 6 % Mont Hardi - France,Blonde,%
