id,name,city,website,type_id,active,zipcode
1940,du Caillou,CAILLOUX-SUR-FONTAINES,www.brasserieducaillou.com,2,TRUE,69270
1941,Single Track,FONTAINES-SUR-SAÔNE,www.brasserie-singletrack.fr,2,TRUE,69270
1942,La Mousse du Hérisson,SAINTE-CONSORCE,la-mousse-du-herisson.business.site,2,TRUE,69280
1943,Les Aubépines,SAINTE-CONSORCE,,2,TRUE,69280
1944,ADN,GRÉZIEU-LA-VARENNE,www.brasserie-adn.com,2,TRUE,69290
1945,La Canute Lyonnaise,PIERRE-BÉNITE,www.lacanutelyonnaise.fr,2,TRUE,69310
1946,des Alpages,FEYZIN,brewma.fr,2,TRUE,69320
1947,La Bière d'en-Haut,FRANCHEVILLE,www.labieredenhaut.fr,2,TRUE,69340
1948,Krüger,SOLAIZE,,2,TRUE,69360
1949,GreDam,CIVRIEUX-D'AZERGUES,gredambrasserie.com,2,TRUE,69380
1950,Misso,MARCILLY-D'AZERGUES,,2,TRUE,69380
1951,Caladoise,ARNAS,,2,TRUE,69400
1952,Terre de Bières,VILLEFRANCHE-SUR-SAÔNE,www.terredebieres.com,2,TRUE,69400
1953,La Vacherie,LONGES,,2,TRUE,69420
1954,La Grobinette,MARCHAMPT,,2,TRUE,69430
1955,AmbiGus,QUINCIÉ-EN-BEAUJOLAIS,www.brasserie-ambigus.fr,2,TRUE,69430
1956,La Bière des Loups,CHAUSSAN,www.labieredesloups.fr,2,TRUE,69440
1957,La Bière du Berger,SAINT-ANDRÉ-LA-CÔTE,labiereduberger.wordpress.com,2,TRUE,69440
1958,Ferme de la Quintillière,SAINT-MAURICE-SUR-DARGOIRE,www.fermedelaquintilliere.com,2,TRUE,69440
1959,Autour de la Bière,TALUYERS,www.autourdelabiere.fr,2,TRUE,69440
1960,Kachmar,ANSE,www.brasserie-kachmar.com,2,TRUE,69480
1961,Domaine du Manchot,LACHASSAGNE,www.domainedumanchot.com,2,TRUE,69480
1962,du Mont Popey,SAINT-FORGEUX,,2,TRUE,69490
1963,La Soyeuse,RONTALON,www.lasoyeuse.fr,2,TRUE,69510
1964,Caribrew,SOUCIEU-EN-JARREST,microbrasseriecaribrew.fr,2,TRUE,69510
1965,La Chénou,ORLIÉNAS,lachenou.fr,2,TRUE,69530
1966,Bulles d'Orge,OULLINS,www.bullesdorge.fr,2,TRUE,69600
1967,Malting-Pot (site d'Oullins),OULLINS,www.malting-pot.com,2,TRUE,69600
