id,name,city,website,type_id,active,zipcode
2463,Musée Vosgien de la Brasserie,VILLE-SUR-ILLON,museevosgiendelabrasserie.com,2,TRUE,88270
2464,La Bière du Musher,CORNIMONT,,2,TRUE,88310
2465,des Sapins,VENTRON,,2,TRUE,88310
2466,de Girmont-Val-d'Ajol,GIRMONT-VAL-D'AJOL,,2,TRUE,88340
2467,Burval,LE VAL D'AJOL,www.val-heureuse.com,2,TRUE,88340
2468,du Roulier,LE VAL D'AJOL,brasserieduroulier.free.fr,2,TRUE,88340
2469,des Buissons,RUPT-SUR-MOSELLE,labrasseriedesbuissons.wordpress.com,2,TRUE,88360
2470,du Meix Blanc,GÉRARDMER,gite-gerardmer.pagesperso-orange.fr,2,TRUE,88400
2471,La Bolonhi,GÉRARDMER,www.labonlohi.fr,2,TRUE,88400
2472,La Gérômoise,GÉRARDMER,www.lageromoise.fr,2,TRUE,88400
2473,La Moussière,LA HOUSSIÈRE,,2,TRUE,88430
2474,du Thoné,LA BOURGONCE,,2,TRUE,88470
2475,La Bourlingueuse,BERTRIMOUTIER,brasserielabourlingueuse.fr,2,TRUE,88520
2476,Pikadili,MANDRAY,pikadili-brasserie.com,2,TRUE,88650
2477,Beer Of No Nation,VITTEL,www.beerofnonation.com,2,TRUE,88800
2478,Larché,SENS,www.brasserie-larche.fr,2,TRUE,89100
2479,La 5 d'Angy,LÉZINNES,la5dangy.wordpress.com,2,TRUE,89160
2480,Odile t'en brasse,AVALLON,odiletenbrasse.fr,2,TRUE,89200
2481,La Dégust'station,CHEMILLY-SUR-YONNE,,2,TRUE,89250
2482,La Cuverie,IRANCY,brasserie-lacuverie.fr,2,TRUE,89290
2483,Popihn,VAUMORT,,2,TRUE,89320
2484,La Truite,BUTTEAUX,,2,TRUE,89360
2485,de Vézelay,SAINT-PÈRE,www.brasseriedevezelay.com,2,TRUE,89450
2486,Bières de la Colline,VÉZELAY,www.bieresdelacolline.fr,2,TRUE,89450
2487,Fayyar,SAINT-BRIS-LE-VINEUX,www.fayyar.fr,2,TRUE,89530
2488,La Fringale,LASSON,ferme.delafringale.free.fr,2,TRUE,89570
2489,Grand Duc,SORMERY,legrandduc-microbrasserie.fr,2,TRUE,89570
2490,"de Chablis
Maddam",CHABLIS,www.maddam-chablis.com,2,TRUE,89800
2491,La Vaugermaine,SAINT-CYR-LES-COLONS,www.lavaugermaine.fr,2,TRUE,89800
2492,MicroBrasserie & Compagnie (MBC),BELFORT,microbrasserie-et-compagnie.fr,2,TRUE,90000
2493,MMC,BELFORT,,2,TRUE,90000
2494,du Territoire,AUXELLES-BAS,oxlbiere.fr,2,TRUE,90200
